Date,ExchangeRate,RateType,Source,LoadTimestampUTC
2024-01-02,35.9593,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-03,35.867,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-04,35.9496,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-05,36.0345,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-08,36.0065,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-09,35.9385,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-10,35.9171,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-11,35.9437,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-12,35.9629,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-15,36.0397,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-16,35.9744,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-17,36.0466,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-18,36.0761,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-19,36.1379,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-22,36.1459,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-23,36.1104,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-24,36.1279,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-25,36.1187,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-26,36.1186,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-29,36.202,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-30,36.1418,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-01-31,36.2032,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-01,36.2601,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-02,36.2352,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-05,36.2859,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-06,36.2534,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-07,36.2556,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-08,36.2375,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-09,36.2919,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-14,36.3185,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-15,36.2609,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-16,36.2737,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-19,36.3358,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-20,36.2375,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-21,36.2951,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-22,36.2315,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-23,36.2329,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-26,36.0698,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-27,36.0706,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-28,36.0955,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-02-29,36.1304,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-01,36.1518,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-04,36.0801,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-05,36.0933,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-06,36.1318,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-07,36.1726,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-08,36.1331,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-11,36.1903,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-12,36.2005,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-13,36.2368,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-14,36.2633,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-15,36.276,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-18,36.3167,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-20,36.2653,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-21,36.2861,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-22,36.3217,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-25,36.3555,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-26,36.3006,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-03-27,36.334,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-01,36.2896,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-02,36.2611,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-03,36.286,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-04,36.2493,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-05,36.2105,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-08,36.2274,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-09,36.1809,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-10,36.2251,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-11,36.1883,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-12,36.2804,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-15,36.2947,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-16,36.2889,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-17,36.2974,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-18,36.3265,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-22,36.3421,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-23,36.3506,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-24,36.3877,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-25,36.4231,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-26,36.4311,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-29,36.4324,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-04-30,36.4262,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-02,36.473,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-03,36.5099,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-06,36.5849,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-07,36.5763,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-08,36.5621,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-09,36.5828,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-10,36.5865,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-14,36.6101,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-15,36.5949,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-16,36.6042,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-17,36.6265,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-20,36.5717,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-21,36.5703,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-22,36.5589,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-23,36.5464,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-24,36.5219,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-27,36.5129,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-28,36.5119,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-29,36.5103,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-30,36.5114,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-05-31,36.5372,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-04,36.5344,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-05,36.5408,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-06,36.524,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-07,36.4882,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-10,36.4787,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-11,36.45,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-12,36.4385,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-13,36.4497,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-14,36.4296,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-18,36.4176,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-19,36.3939,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-20,36.3831,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-21,36.3789,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-25,36.3725,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-26,36.3655,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-27,36.3823,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-06-28,36.4085,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-01,36.4462,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-02,36.4551,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-03,36.4672,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-04,36.4779,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-08,36.5123,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-09,36.4888,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-10,36.5056,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-11,36.5134,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-12,36.5303,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-15,36.5243,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-16,36.5004,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-17,36.506,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-18,36.5407,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-19,36.5724,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-22,36.6066,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-23,36.5314,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
2024-07-25,36.559,Official FX,DolarAPI Oficial Histórico,2026-04-17T12:27:37.910422+00:00
