Date,OfficialRate,ParallelRate,GapAbs,GapPct,DataFreshnessUTC
2024-01-02,35.9593,,,,2026-04-17T12:38:03.168615+00:00
2024-01-03,35.867,,,,2026-04-17T12:38:03.168615+00:00
2024-01-04,35.9496,,,,2026-04-17T12:38:03.168615+00:00
2024-01-05,36.0345,,,,2026-04-17T12:38:03.168615+00:00
2024-01-08,36.0065,,,,2026-04-17T12:38:03.168615+00:00
2024-01-09,35.9385,,,,2026-04-17T12:38:03.168615+00:00
2024-01-10,35.9171,,,,2026-04-17T12:38:03.168615+00:00
2024-01-11,35.9437,,,,2026-04-17T12:38:03.168615+00:00
2024-01-12,35.9629,,,,2026-04-17T12:38:03.168615+00:00
2024-01-15,36.0397,,,,2026-04-17T12:38:03.168615+00:00
2024-01-16,35.9744,,,,2026-04-17T12:38:03.168615+00:00
2024-01-17,36.0466,,,,2026-04-17T12:38:03.168615+00:00
2024-01-18,36.0761,,,,2026-04-17T12:38:03.168615+00:00
2024-01-19,36.1379,,,,2026-04-17T12:38:03.168615+00:00
2024-01-22,36.1459,,,,2026-04-17T12:38:03.168615+00:00
2024-01-23,36.1104,,,,2026-04-17T12:38:03.168615+00:00
2024-01-24,36.1279,,,,2026-04-17T12:38:03.168615+00:00
2024-01-25,36.1187,,,,2026-04-17T12:38:03.168615+00:00
2024-01-26,36.1186,,,,2026-04-17T12:38:03.168615+00:00
2024-01-29,36.202,,,,2026-04-17T12:38:03.168615+00:00
2024-01-30,36.1418,,,,2026-04-17T12:38:03.168615+00:00
2024-01-31,36.2032,,,,2026-04-17T12:38:03.168615+00:00
2024-02-01,36.2601,,,,2026-04-17T12:38:03.168615+00:00
2024-02-02,36.2352,,,,2026-04-17T12:38:03.168615+00:00
2024-02-05,36.2859,,,,2026-04-17T12:38:03.168615+00:00
2024-02-06,36.2534,,,,2026-04-17T12:38:03.168615+00:00
2024-02-07,36.2556,,,,2026-04-17T12:38:03.168615+00:00
2024-02-08,36.2375,,,,2026-04-17T12:38:03.168615+00:00
2024-02-09,36.2919,,,,2026-04-17T12:38:03.168615+00:00
2024-02-14,36.3185,,,,2026-04-17T12:38:03.168615+00:00
2024-02-15,36.2609,,,,2026-04-17T12:38:03.168615+00:00
2024-02-16,36.2737,,,,2026-04-17T12:38:03.168615+00:00
2024-02-19,36.3358,,,,2026-04-17T12:38:03.168615+00:00
2024-02-20,36.2375,,,,2026-04-17T12:38:03.168615+00:00
2024-02-21,36.2951,,,,2026-04-17T12:38:03.168615+00:00
2024-02-22,36.2315,,,,2026-04-17T12:38:03.168615+00:00
2024-02-23,36.2329,,,,2026-04-17T12:38:03.168615+00:00
2024-02-26,36.0698,,,,2026-04-17T12:38:03.168615+00:00
2024-02-27,36.0706,,,,2026-04-17T12:38:03.168615+00:00
2024-02-28,36.0955,,,,2026-04-17T12:38:03.168615+00:00
2024-02-29,36.1304,,,,2026-04-17T12:38:03.168615+00:00
2024-03-01,36.1518,,,,2026-04-17T12:38:03.168615+00:00
2024-03-04,36.0801,,,,2026-04-17T12:38:03.168615+00:00
2024-03-05,36.0933,,,,2026-04-17T12:38:03.168615+00:00
2024-03-06,36.1318,,,,2026-04-17T12:38:03.168615+00:00
2024-03-07,36.1726,,,,2026-04-17T12:38:03.168615+00:00
2024-03-08,36.1331,,,,2026-04-17T12:38:03.168615+00:00
2024-03-11,36.1903,,,,2026-04-17T12:38:03.168615+00:00
2024-03-12,36.2005,,,,2026-04-17T12:38:03.168615+00:00
2024-03-13,36.2368,,,,2026-04-17T12:38:03.168615+00:00
2024-03-14,36.2633,,,,2026-04-17T12:38:03.168615+00:00
2024-03-15,36.276,,,,2026-04-17T12:38:03.168615+00:00
2024-03-18,36.3167,,,,2026-04-17T12:38:03.168615+00:00
2024-03-20,36.2653,,,,2026-04-17T12:38:03.168615+00:00
2024-03-21,36.2861,,,,2026-04-17T12:38:03.168615+00:00
2024-03-22,36.3217,,,,2026-04-17T12:38:03.168615+00:00
2024-03-25,36.3555,,,,2026-04-17T12:38:03.168615+00:00
2024-03-26,36.3006,,,,2026-04-17T12:38:03.168615+00:00
2024-03-27,36.334,,,,2026-04-17T12:38:03.168615+00:00
2024-04-01,36.2896,,,,2026-04-17T12:38:03.168615+00:00
2024-04-02,36.2611,,,,2026-04-17T12:38:03.168615+00:00
2024-04-03,36.286,,,,2026-04-17T12:38:03.168615+00:00
2024-04-04,36.2493,,,,2026-04-17T12:38:03.168615+00:00
2024-04-05,36.2105,,,,2026-04-17T12:38:03.168615+00:00
2024-04-08,36.2274,,,,2026-04-17T12:38:03.168615+00:00
